id,questionid,questionusageid,name,questionsummary,rightanswer,responsesummary,timemodified,state,fraction,userid,username,"from unixtime(qa.timemodified)"
3478,373,218,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Follow the organisations policies
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3479,374,218,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","All of the above
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3480,375,218,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","log onto an open network in a local coffee shop
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3481,376,218,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Define a clear purpose and learning objectives aligned to your job role
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3482,377,218,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","Tasks, time, team
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3483,378,218,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Increase productivity
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3484,379,218,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","Through continuous professional development
",1605798463,gradedright,1.0000000,9,owens,"2020-11-19 15:07:43"
3485,416,219,Q01,"Two methods of customising the ribbon in the majority of Microsoft office products can be achieved by hovering over a ribbon icon and right clicking the mouse button, which of the following is a third option?
: File/Info
; File/Account
; File
; File/Options
","File/Options
","File/Options
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3486,417,219,Q02,"Which type of software application is best suited when using numbers and formulas?
: Images
; Documents
; Slides
; Spreadsheets
","Spreadsheets
","Spreadsheets
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3487,418,219,Q03,"What type of software platform is routinely used to manage interaction with customers and suppliers?
: CRM
; CTO
; Intranet
; Internet
","CRM
","CRM
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3488,419,219,Q04,"Which of these platforms does not commonly feature a single sign-on function?
: CMS
; Internet
; Intranet
; CRM
","Internet
","Internet
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3489,420,219,Q05,"Agile methodology has 4 key value statements, complete the value statement, ""Individuals and interactions over""
: Teams and techniques
; Processes and tools
; Processes and teams
; Processes and positions
","Processes and tools
","Processes and tools
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3490,421,219,Q06,"Agile methodology has 4 key value statements, complete the value statement ""Working software over""?
: Comprehensive spreadsheets
; Comprehensive lists
; Comprehensive documentation
; Complicated rules
","Comprehensive documentation
","Comprehensive documentation
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3491,422,219,Q07,"A person working in finance is most likely to depend on which digital technology to perform their role?
: Presentation software
; Instant messaging software
; Spreadsheet processing software
; Time-off management software
","Spreadsheet processing software
","Spreadsheet processing software
",1605798572,gradedright,1.0000000,9,owens,"2020-11-19 15:09:32"
3492,423,219,Q08,"A formal and detailed way to ensure that new employees are aware how to access and start using an organisation’s digital tools, could be?
: FAQs
; Webinars
; How to guides
; Staff inductions
","FAQs
","How to guides
",1605798572,gradedwrong,0.0000000,9,owens,"2020-11-19 15:09:32"
3493,424,220,Q01,"Which of the following is NOT a social media tool?
: GitHub
; Snapchat
; Twitter
; Facebook
","GitHub
","GitHub
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3494,425,220,Q02,"Which of the following is a feature of diagnosing digital problems?
: Look at previous cases and history of faults.
; Physical or virtual examination of the product
; Testing functionality
; All of the above
","All of the above
","All of the above
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3495,426,220,Q03,"Which of the following is GOOD password management?
: Save your password to your PC so you do not lose it
; Use one single strong password for all uses
; Always use a simple password you can remember
; Change your password regularly
","Change your password regularly
","Change your password regularly
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3496,427,220,Q04,"What does CMS stand for?
: Content messaging system
; Customer messaging system
; Computer management system
; Content management system
","Content management system
","Content management system
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3497,428,220,Q05,"Which of the following Digital Channels are BEST used to communicate with different audiences?
: Zero level channel
; Presentation Software
; Email
; Twitter
","Email
","Email
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3498,429,220,Q06,"Which of the following would you use a CRM system for?
: Recording HR information
; Recording Financial information
; Recording Management information
; Recording Customer Sales information
","Recording Customer Sales information
","Recording Customer Sales information
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3499,430,220,Q07,"When supporting a customer which of the following is BEST practice?
: Maintain communication and inform the customer of the outcome once completed
; Only communicate with the customer as you log outcomes
; Do not communicate with the customer throughout the task
; Only inform the customer when the task is complete and log the completion
","Maintain communication and inform the customer of the outcome once completed
","Maintain communication and inform the customer of the outcome once completed
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3500,431,220,Q08,"Which of the following SHOULD form part of an organisations code of ethics?
: By an organisation to respond to complaints
; To guide an organisations recruitment strategy
; To guide the organisation in its decisions, programs, and policies
; For organisations to inform their strategic decisions
","To guide the organisation in its decisions, programs, and policies
","To guide the organisation in its decisions, programs, and policies
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3501,432,220,Q09,"When would you MOST likely escalate a problem?
: When it is something you have never encountered before
; When it is time to go home and the problem is not solved
; After trying to resolve the problem and you have exhausted all possible solutions
; When you cannot find the answer on the internet
","After trying to resolve the problem and you have exhausted all possible solutions
","After trying to resolve the problem and you have exhausted all possible solutions
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3502,433,220,Q10,"Which of the following methods is BEST suited to coach or support external users with a fault?
: Create a simple user guide
; Email their line manager to let them know they need training
; Send them the technical / manufactures documents
; Send them an email and try to explain what they need to do
","Create a simple user guide
","Create a simple user guide
",1605798732,gradedright,1.0000000,9,owens,"2020-11-19 15:12:12"
3503,364,221,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3504,365,221,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3505,366,221,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","Google Drive
",1605812945,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3506,367,221,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3507,368,221,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3508,369,221,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Information Risk Management Policy
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3509,370,221,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","All of the above
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3510,371,221,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You have had a virus on your PC
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3511,372,221,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","Information Commissioners Office
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3512,373,221,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Follow the organisations policies
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3513,374,221,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","All of the above
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3514,375,221,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","log onto an open network in a local coffee shop
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3515,376,221,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Define a clear purpose and learning objectives aligned to your job role
",1605812945,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3516,377,221,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","Customer, costs, capacity
",1605812945,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3517,378,221,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Informs the business strategy
",1605812945,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3518,379,221,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","Through observation of colleagues
",1605812945,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:05"
3519,364,222,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3520,365,222,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3521,366,222,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","PowerBI
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3522,367,222,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3523,368,222,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
